Bioinformatics	25173419 2015 package http://sourceforge.net/projects/rpore/ 301 available https://sourceforge.net/p/rpore/wiki/Home/ 302 
Bioinformatics	17237073 2007 download http://www.sanger.ac.uk/proserver/ 301 null http://search.cpan.org/~rpettett/ 200 download http://www.sanger.ac.uk/proserver/ 301 
Bioinformatics	18567917 2008 available ftp://ftp.ncbi.nlm.nih.gov/pub/agarwala/indexed_megablast 301 
Bioinformatics	18593718 2008 software http://biomaj.genouest.org 301 
Bioinformatics	18599518 2008 software http://www.bcgsc.ca/platform/bioinfo/software/findpeaks 405 
Bioinformatics	18596077 2008 null http://bioweb.ucr.edu/ChemMineV2/chemminer 302 
Bioinformatics	18842600 2008 code http://www.burkholderia.com 200 
Bioinformatics	18940828 2008 available http://www.ptools.ua.ac.be/CRPhos/ 200 available http://www.ptools.ua.ac.be/CRPhos/ 200 
Bioinformatics	18940824 2008 null http://www.bioinf.uni-freiburg.de/Software/ 200 
Bioinformatics	18952627 2008 available http://wgs-assembler.sf.net 301 
Bioinformatics	18940825 2008 available http://sitepredict.org/ -1 
Bioinformatics	18953044 2008 package www.bioconductor.org -1 
Bioinformatics	18984598 2008 null http://biogibbs.stanford.edu/~kkapur/GeneBase/ -1 
Bioinformatics	18953045 2008 null http://www.lycaenid.org/augist/ 200 
Bioinformatics	18974167 2008 null http://www.sanger.ac.uk/cgi-bin/teams/team113/imapper.cgi 200 
Bioinformatics	18922806 2008 available http://www.biocaster.org -1 
Bioinformatics	18845581 2008 null http://www.gmod.org 301 null http://www.sanger.ac.uk/Software/Artemis/ 301 null http://www.sanger.ac.uk/Software/ACT/ 301 
Bioinformatics	18842597 2008 available http://www.montpellier.inra.fr/CBGP/diyabc 301 available http://www.montpellier.inra.fr/CBGP/diyabc 301 
Bioinformatics	18842598 2008 available http://socs.biology.gatech.edu/ 401 
Bioinformatics	18849569 2008 download http://www.well.ox.ac.uk/~tota/pope 404 
Bioinformatics	18818215 2008 null http://ekhidna.biocenter.helsinki.fi/dali_server 200 download http://ekhidna.biocenter.helsinki.fi/dali_lite/downloads/v3 200 
Bioinformatics	18556668 2008 null http://www.jcvi.org/mpidb/ 200 
Bioinformatics	18842599 2008 available http://gbnci.abcc.ncifcrf.gov/geo/ 301 
Bioinformatics	18930952 2008 available http://mspire.rubyforge.org -1 available http://bioinformatics.icmb.utexas.edu/mspire 302 
Bioinformatics	18511466 2008 available http://www.doe-mbi.ucla.edu/services 301 
Bioinformatics	18499695 2008 available www.infornomics.utoronto.ca/downloads/EMRF -1 available www.infornomics.utoronto.ca/downloads/EMRF -1 
Bioinformatics	18492685 2008 null http://emu.src.riken.jp/MOCSphaser/MOCSphaser.zip 200 null http://emu.src.riken.jp/MOCSphaser/SuppInfor.doc 404 
Bioinformatics	18450811 2008 code http://compbio.cs.princeton.edu/specificity/ 200 
Bioinformatics	18467344 2008 available http://bioinf.eva.mpg.de/patman 302 
Bioinformatics	21685102 2011 null http://www.cse.iitm.ac.in/~ashishvt/research/protein-lda/ 200 
Bioinformatics	18689809 2008 abstractNotFound
Bioinformatics	19497932 2009 available ftp://ftp.sanger.ac.uk/pub/pathogens/pools/ -1 
Bioinformatics	18480101 2008 code http://code.google.com/p/wcdest 405 null www.bioinf.wits.ac.za/~scott/wcdsupp.html -1 
Bioinformatics	18586710 2008 software http://www.bussemakerlab.org/software/MatrixREDUCE 404 
